quantity,bin,binBarcode,barcode,shelf,level,productName,productType,sku,option1,option2,option3,lotName,expiration,warehouse,minCost,avgCost,maxCost,price,committed,incoming,velocity,lastReceivedAt,lastReceivedPO
7,Other,1777650559284,5404022089893,C,1,Grooming Deluxe Baseball Cap,Rider > Accessories & Apparel > Hats,42732-01-F,Color: Black,,,,,Wellington Warehouse,26.08,26.08,26.08,69.99,0,0,,,
4,Grid wall,1770916055031,5407008899431,Girths,1,Kentucky Horsewear Sunglasses,Rider > Accessories & Apparel > Accessories,42804-05,Type: Adele,,,,,Wellington Warehouse,104.32,104.32,104.32,269.99,0,0,,,
4,LVL 4,1770051152413,5407007535101,Saddle Pads 1,4,Kentucky Horsewear Fishbone Saddle Pad with Numbers,Tack & Equipment > English Saddle Pads > All Purpose & Hunter/Jumper Saddle Pads,42582-03-SJ,Color: Navy,,,,,Wellington Warehouse,91.28,91.28,91.28,249.99,0,0,,,
4,LVL 4,1770051152413,5407007535118,Saddle Pads 1,4,Kentucky Horsewear Fishbone Saddle Pad with Numbers,Tack & Equipment > English Saddle Pads > All Purpose & Hunter/Jumper Saddle Pads,42582-02-SJ,Color: White,,,,,Wellington Warehouse,91.28,91.28,91.28,249.99,0,0,,,
5,BIN-04,1776354991789,"5407010741322, 5407010741322",Grooming Small,4,Kentucky Horsewear Sammy Towel,Rider > Accessories & Apparel > Accessories,42117-01,Color: Black,Size: 35x34 cm,,,,Wellington Warehouse,4.34,4.34,4.34,14.99,0,0,,,
0,BIN-03,1774887638159,5407008894405,Cavali 2,3,Kentucky Horsewear Socks Set of 3,Rider > Accessories & Apparel > Socks,42705-01-41/46,Color: Black,Size: 41/46,,,,Wellington Warehouse,30.42,30.42,30.42,84.99,0,0,0.023809524,,
0,BIN-03,1774887638159,5407008893057,Cavali 2,3,Kentucky Horsewear Glitter Socks,Rider > Accessories & Apparel > Socks,42702-32-35/40,Color: Beige,Size: 35/40,,,,Wellington Warehouse,13.04,13.04,13.04,39.99,0,0,,,
1,BIN-03,1774887638159,5407008893149,Cavali 2,3,Kentucky Horsewear Glitter Socks,Rider > Accessories & Apparel > Socks,42702-08-41/46,Color: Gray,Size: 41/46,,,,Wellington Warehouse,13.04,13.04,13.04,39.99,0,0,,,
0,BIN-03,1774887638159,5407008894375,Cavali 2,3,Kentucky Horsewear Socks Set of 3,Rider > Accessories & Apparel > Socks,42705-03-41/46,Color: Navy,Size: 41/46,,,,Wellington Warehouse,30.42,30.42,30.42,84.99,0,0,0.013157895,,
0,BIN-03,1774887638159,5407008894382,Cavali 2,3,Kentucky Horsewear Socks Set of 3,Rider > Accessories & Apparel > Socks,42705-03-35/40,Color: Navy,Size: 35/40,,,,Wellington Warehouse,30.42,30.42,30.42,84.99,0,0,0.025641026,,
0,BIN-03,1774887638159,5407008893132,Cavali 2,3,Kentucky Horsewear Glitter Socks,Rider > Accessories & Apparel > Socks,42702-03-35/40,Color: Navy,Size: 35/40,,,,Wellington Warehouse,13.04,13.04,13.04,39.99,0,0,,,
1,BIN-03,1774887638159,5407007538430,Cavali 2,3,Kentucky Horsewear Socks,Rider > Accessories & Apparel > Socks,42208-10-35/40,Color: Pink,Size: 35/40,,,,Wellington Warehouse,13.04,13.04,13.04,39.99,0,0,,,
6,Other,1777650559284,5404022089923,C,1,Grooming Deluxe Baseball Cap,Rider > Accessories & Apparel > Hats,42732-32-F,Color: Beige,,,,,Wellington Warehouse,26.08,26.08,26.08,69.99,0,0,,,
0,BIN-03,1774887638159,5407008894399,Cavali 2,3,Kentucky Horsewear Socks Set of 3,Rider > Accessories & Apparel > Socks,42705-01-35/40,Color: Black,Size: 35/40,,,,Wellington Warehouse,30.42,30.42,30.42,84.99,0,0,0.025,,
4,Grid wall,1770916055031,5407008899417,Girths,1,Kentucky Horsewear Sunglasses,Rider > Accessories & Apparel > Accessories,42804-55,Type: Alvin,,,,,Wellington Warehouse,104.32,104.32,104.32,269.99,0,0,,,
4,LVL 4,1770051152413,5407007535095,Saddle Pads 1,4,Kentucky Horsewear Fishbone Saddle Pad with Numbers,Tack & Equipment > English Saddle Pads > All Purpose & Hunter/Jumper Saddle Pads,42582-01-SJ,Color: Black,,,,,Wellington Warehouse,91.28,91.28,91.28,249.99,0,0,,,
1,BIN-03,1777314709513,5407010747430,Shelf 21,3,Kentucky Horsewear Wellington Ear Bonnet,Tack & Equipment > Ear Plugs & Bonnets > Bonnets,42608-01-L,Size: Oversized,Color: Black,,,,Wellington Warehouse,52.16,52.16,52.16,149.99,0,0,,,
4,BIN-04,1767452692385,5404022000973,Shelf 2,4,Kentucky Horsewear Anti Fly Nose Net,Horse Wear > Fly & Insect Control > Fly Masks,42663-01-M,Size: Cob,Color: Black,,,,Wellington Warehouse,13.03,13.03,13.03,39.99,0,0,0.023255814,,
0,ROW 3 : LVL 2,1774281614627,5404022092411,Grooming/Tack Cleaner,2,Grooming Deluxe Leather Almond Care Oil,Tack & Equipment > Leather Care,72119,Title: Default Title,,,,,Wellington Warehouse,10.02,10.02,10.02,34.99,0,0,0.051282052,,
1,BIN-03,1777314709513,5425030837245,Shelf 21,3,Kentucky Horsewear Wellington Stone & Pearl Ear Bonnet,Tack & Equipment > Ear Plugs & Bonnets > Bonnets,42614-33-F,Size: Full,Color: Navy,,,,Wellington Warehouse,69.55,69.55,69.55,189.99,0,0,,,
2,BIN-03,1777314709513,5425030837382,Shelf 21,3,Kentucky Horsewear Wellington Stone & Pearl Long Ear Bonnet,Tack & Equipment > Ear Plugs & Bonnets > Bonnets,42616-33-F,Size: Full,Color: Navy,,,,Wellington Warehouse,69.55,69.55,69.55,189.99,0,0,,,
1,BIN-03,1777314709513,5407010747454,Shelf 21,3,Kentucky Horsewear Wellington Ear Bonnet,Tack & Equipment > Ear Plugs & Bonnets > Bonnets,42608-33-L,Size: Oversized,Color: Navy,,,,Wellington Warehouse,52.16,52.16,52.16,149.99,0,0,,,
